playerID,yearID,teamID,lgID,AB,R,H,X2B,X3B,HR,RBI,SB,BB,SO,HBP,SH,SF
cantujo01,2011,SDN,NL,144,8,28,4,0,3,16,0,7,28,1,0,3
canzlru01,2011,TBA,AL,3,0,1,0,0,0,1,0,1,1,0,0,1
cappsma01,2011,MIN,AL,0,0,0,0,0,0,0,0,0,0,0,0,0
capuach01,2011,NYN,NL,56,2,4,2,0,0,0,0,0,33,0,6,0
carigan01,2011,OAK,AL,0,0,0,0,0,0,0,0,0,0,0,0,0
carlybu01,2011,NYA,AL,0,0,0,0,0,0,0,0,0,0,0,0,0
carmofa01,2011,CLE,AL,3,0,0,0,0,0,0,0,0,2,0,0,0
carpean01,2011,PHI,NL,0,0,0,0,0,0,0,0,0,0,0,0,0
carpech01,2011,SLN,NL,71,2,11,3,0,0,5,0,2,25,0,9,0
carpech02,2011,CHN,NL,0,0,0,0,0,0,0,0,0,0,0,0,0
carpeda01,2011,HOU,NL,0,0,0,0,0,0,0,0,0,0,0,0,0
carpema01,2011,SLN,NL,15,0,1,1,0,0,0,0,4,4,0,0,0
carpmi01,2011,SEA,AL,290,27,80,17,1,12,46,0,19,81,3,0,1
carraca01,2011,CLE,AL,5,0,0,0,0,0,0,0,0,3,0,2,0
carradj01,2011,NYN,NL,0,0,0,0,0,0,0,0,0,0,0,1,0
carreez01,2011,CLE,AL,202,27,49,8,3,0,14,10,16,35,1,7,0
carrejo01,2011,TOR,AL,0,0,0,0,0,0,0,0,0,0,0,0,0
carrobr01,2011,MIL,NL,3,0,0,0,0,0,0,0,0,1,0,0,0
carroja01,2011,LAN,NL,452,52,131,14,6,0,17,10,47,58,2,8,1
cartech02,2011,OAK,AL,44,2,6,0,0,0,0,0,2,20,0,0,0
cashnan01,2011,CHN,NL,1,0,0,0,0,0,0,0,0,1,0,1,0
casilal01,2011,MIN,AL,323,52,84,21,4,2,21,15,28,45,3,8,3
cassebo01,2011,LAA,AL,0,0,0,0,0,0,0,0,0,0,0,0,0
castial02,2011,ARI,NL,0,0,0,0,0,0,0,0,0,0,0,0,0
castiwe01,2011,CHN,NL,13,0,2,0,0,0,0,0,0,4,0,0,0
castrju01,2011,LAN,NL,14,2,4,0,0,0,1,0,1,4,0,0,0
castrra01,2011,CHA,AL,68,6,16,3,0,4,10,0,7,23,0,0,0
castrst01,2011,CHN,NL,674,91,207,36,9,10,66,22,35,96,2,0,4
cecilbr01,2011,TOR,AL,0,0,0,0,0,0,0,0,0,0,0,0,0
cedajo01,2011,FLO,NL,0,0,0,0,0,0,0,0,0,0,0,0,0
cedenro02,2011,PIT,NL,413,43,103,25,3,2,32,2,30,93,0,6,5
cedenxa01,2011,HOU,NL,0,0,0,0,0,0,0,0,0,0,0,0,0
cervefr01,2011,NYA,AL,124,17,33,4,0,4,22,4,9,29,2,1,1
chacijh01,2011,COL,NL,61,3,10,1,0,0,4,0,1,12,1,5,0
chambad01,2011,SLN,NL,8,2,3,0,1,0,4,0,0,1,0,0,0
chambjo03,2011,NYA,AL,0,0,0,0,0,0,0,0,0,0,0,0,0
chapmar01,2011,CIN,NL,0,0,0,0,0,0,0,0,0,0,0,0,0
chatwty01,2011,LAA,AL,3,1,2,0,0,0,0,0,0,0,0,2,0
chaveen01,2011,TEX,AL,256,37,77,11,3,5,27,10,10,30,0,5,3
chaveer01,2011,NYA,AL,160,16,42,7,1,2,26,0,14,34,0,0,1
chaveje01,2011,KCA,AL,0,0,0,0,0,0,0,0,0,0,0,0,0
chenbr01,2011,KCA,AL,1,0,0,0,0,0,0,0,0,1,0,1,0
chiriro01,2011,TBA,AL,55,4,12,2,0,1,7,0,5,13,0,0,0
chiselo01,2011,CLE,AL,212,27,54,13,0,7,22,1,8,49,1,1,1
choatra01,2011,FLO,NL,0,0,0,0,0,0,0,0,0,0,0,0,0
choosh01,2011,CLE,AL,313,37,81,11,3,8,36,12,36,78,6,0,3
chrisju01,2011,SFN,NL,47,6,12,5,0,0,4,3,2,8,0,2,0
ciriape01,2011,PIT,NL,33,4,10,2,1,0,6,2,1,6,0,0,0
cishest01,2011,FLO,NL,0,0,0,0,0,0,0,0,0,0,0,0,0
cletoma01,2011,SLN,NL,1,0,0,0,0,0,0,0,0,1,0,0,0
clevest01,2011,CHN,NL,4,1,1,1,0,0,0,0,0,0,1,0,0
clippty01,2011,WAS,NL,2,0,0,0,0,0,0,0,0,0,0,1,0
cobbal01,2011,TBA,AL,0,0,0,0,0,0,0,0,0,0,0,0,0
coffeto01,2011,WAS,NL,0,0,0,0,0,0,0,0,0,0,0,0,0
coghlch01,2011,FLO,NL,269,33,62,20,1,5,22,7,22,49,4,1,2
cokeph01,2011,DET,AL,2,0,0,0,0,0,0,0,0,2,0,0,0
colemca01,2011,CHN,NL,25,1,4,1,1,0,0,0,0,6,0,4,0
colemlo01,2011,KCA,AL,1,0,0,0,0,0,0,0,0,1,0,0,0
colliti01,2011,KCA,AL,0,0,0,0,0,0,0,0,0,0,0,0,0
collmjo01,2011,ARI,NL,40,2,6,0,0,0,1,0,2,16,1,4,0
colonba01,2011,NYA,AL,1,0,0,0,0,0,0,0,0,1,0,1,0
colvity01,2011,CHN,NL,206,17,31,8,3,6,20,0,14,58,0,1,1
congeha01,2011,LAA,AL,177,14,37,8,0,6,19,0,17,37,1,2,0
conrabr01,2011,ATL,NL,103,11,23,5,0,4,13,2,15,41,1,2,1
constjo01,2011,ATL,NL,109,21,33,1,1,2,10,7,6,14,0,4,0
contrjo01,2011,PHI,NL,0,0,0,0,0,0,0,0,0,0,0,0,0
cookaa01,2011,COL,NL,34,1,5,0,0,0,2,0,0,11,0,1,0
cookry01,2011,ARI,NL,0,0,0,0,0,0,0,0,0,0,0,0,0
coopeda01,2011,TOR,AL,71,9,15,7,0,2,12,0,7,14,1,0,2
coraal01,2011,WAS,NL,156,12,35,6,1,0,6,2,12,23,2,1,1
cordefr01,2011,CIN,NL,0,0,0,0,0,0,0,0,0,0,0,0,0
cormila01,2011,LAN,NL,1,0,0,0,0,0,0,0,0,0,0,0,0
corpoca01,2011,HOU,NL,154,9,29,8,1,0,11,0,10,49,4,3,2
correke01,2011,PIT,NL,46,0,4,2,0,0,3,0,1,19,0,8,0
corteda02,2011,SEA,AL,0,0,0,0,0,0,0,0,0,0,0,0,0
counscr01,2011,MIL,NL,157,19,28,2,1,1,9,2,20,21,3,5,2
cousisc01,2011,FLO,NL,52,5,7,1,0,1,4,1,6,21,0,0,0
